品目,品番,商品名,車両メーカー,代表型式,代表車名,純正品番,Uzone品番_純正品番,本体福原加工,クラッチ福原加工,本体,クラッチ,仕切り,保証期間,備考,付属品,注意事項１,注意事項２,在庫フラグ（0：在庫あり、1：要確認）,部品ID1,部品ID2,特徴1,特徴2,特徴3,特徴4,特徴5,特徴6,特徴7,特徴8,特徴9,特徴10
コンプレッサー,SJK72B0,スズキコンプレッサー,ﾏﾂﾀﾞ,M-DG41B,ｽｸﾗﾑ,ZZS061450A,40453584,ZZS0-61-450A,,,,22300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1,481.0,,,,,,,,,,,
コンプレッサー,447170-774R,コンプレッサー/クラッチ(R)　10S13C 24V,ﾏﾂﾀﾞ,WH63G,ﾀｲﾀﾝ,W62061K00,40437727,W620-61-K00,,4472203390,4473009460,33300,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1,481.0,,,,,,,,,,,
コンプレッサー,447100-748R,コンプレッサー/クラッチ(R) 10P13F 24V,ﾏﾂﾀﾞ,,ﾀｲﾀﾝ,W42461450A,40433928,W424-61-450A,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1,481.0,,,,,,,,,,,
コンプレッサー,447100-749R,コンプレッサー/クラッチ　(R)　10P13C  24V,ﾏﾂﾀﾞ,,ﾀｲﾀﾝ,W41261450B,40433333,W412-61-450B,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1,481.0,,,,,,,,,,,
コンプレッサー,247100-460R,コンプレッサー/クラッチ(R) 10P13A 24V,ﾏﾂﾀﾞ,WGM4T,ﾀｲﾀﾝ,W37261450,40432936,W372-61-450,,1472005160,473006790,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1,481.0,,,,,,,,,,,
コンプレッサー,447100-364R,コンプレッサー/クラッチ(R) 10P13A 24V,ﾏﾂﾀﾞ,WGLAD,ﾀｲﾀﾝ,W32361450A,40432063,W323-61-450A,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1,481.0,,,,,,,,,,,
コンプレッサー,147100-706R,コンプレッサ-/クラッチ  10P13A 24V,ﾏﾂﾀﾞ,WGLAD,ﾀｲﾀﾝ,W20261450,,W202-61-450,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1,,,,,,,,,,,,
コンプレッサー,047100-977R,コンプレッサー/クラッチ　(R)　10P13A  24V,ﾏﾂﾀﾞ,WELAN,ﾀｲﾀﾝ,W06561450,,W065-61-450,,,,29400,1年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1,,,,,,,,,,,,
コンプレッサー,447100-985R,コンプレッサー/クラッチ(R)　10P13C  12V,ﾏﾂﾀﾞ,UF66M,ﾌﾟﾛｼｰﾄﾞ,UE8261450A,40422935,UE82-61-450A,,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1,481.0,,,,,,,,,,,
コンプレッサー,147100-871R,コンプレッサー/クラッチ(R) 10P13C 12V,ﾏﾂﾀﾞ,UF66M,ﾌﾟﾛｼｰﾄﾞ,UE5361450A,40422842,UE53-61-450A,,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,,1,481.0,,,,,,,,,,,
コンプレッサー,447100-883R,コンプレッサー/クラッチ(R) 10PA17C 12V,ﾏﾂﾀﾞ,TF31W,ﾌﾟﾛｼｰﾄﾞ,U01361450,40421129,U013-61-450,,,,29400,2年2万km保証,純正部品にてリビルト,マグネットクラッチ付(純正新品)　Oリング付　オイル規定量入り,,※トラック・冷凍車は1年2万km保証,1,481.0,,,,,,,,,,,
コンプレッサー,506011-5470R-S,ゼクセルコンプレッサー(DKS15CH),ﾏﾂﾀﾞ,Z-SDEATF,J80･J100,S66061450,40406661,S660-61-450,,,,25300,2年4万km保証,リビルト品,マグネットクラッチ付　Oリング付　オイル規定量入り,,,1,481.0,,,,,,,,,,,
